SRSF1	FUS	SF1	U2AF
-1.1462585885192915	2.216899521153448	4.3902341026435	-0.7143759271200866
0.0	0.0	3.5652035366620094	0.0
-1.5167483466736007	0.0	0.0	-0.4649588379603549
0.0	0.0	0.0	0.07654966223920381
0.0	-0.20945287734837215	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	5.904491039639123	0.0
0.0	3.5632278805922155	0.0	0.0
0.0	0.0	-0.46214516703742065	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	2.7476672120974386	0.0
0.0	0.0	0.0	0.0
-1.3674571832866809	0.0	0.0	0.5910446469039073
0.0	0.0	0.0	0.42194988382984316
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.08967328913001817
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	-2.946015862586641	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	1.4831337982319788	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	0.0	0.0
0.0	0.0	6.220549222197174	0.0
0.0	0.0	0.0	0.0
0.0	3.1250824490059106	0.0	0.0
